language,language_name,resource_level,steady_energy_per_token_J,total_output_tokens,total_input_tokens,completed,duration,steady_state_duration,whole_gpu_energy_J,accuracy_strict,accuracy_lenient,num_correct_strict,num_correct_lenient,num_format_failures,num_evaluated
hau_Latn,Hausa,Low,0.12704015052365383,876624,350905,900,1781.0999624729156,167.55277013778687,{'0': 502875.3059999943},0.0022222222222222222,0.2388888888888889,2,215,894,900
heb_Hebr,Hebrew,High,0.11070264498034235,414788,263807,900,165.43036699295044,118.4213125705719,{'0': 51499.14999985695},0.7655555555555555,0.8444444444444444,689,760,80,900
hin_Deva,Hindi,High,0.19597561445375708,708854,724809,900,435.3661069869995,323.8275923728943,{'0': 146489.43799996376},0.75,0.7588888888888888,675,683,11,900
hin_Latn,Hindi (Latin),High,0.1433223451381365,735045,333510,900,780.1537959575653,256.5590772628784,{'0': 230010.10800004005},0.12666666666666668,0.6666666666666666,114,600,732,900
hrv_Latn,Croatian,High,0.12065406414137173,360991,332737,900,155.73766040802002,113.71367025375366,{'0': 49066.96000003815},0.4288888888888889,0.8433333333333334,386,759,452,900
hun_Latn,Hungarian,High,0.14463028969136493,646556,389450,900,307.3459646701813,240.2342712879181,{'0': 99312.23600006104},0.8211111111111111,0.8577777777777778,739,772,39,900
hye_Armn,Armenian,Low,0.2195883123936968,1267931,871362,900,1308.271990776062,655.2836961746216,{'0': 402437.9309999943},0.005555555555555556,0.7011111111111111,5,631,889,900
ibo_Latn,Igbo,Low,0.17393830243143482,1286472,431827,900,2664.871510744095,327.50766134262085,{'0': 758442.9019999504},0.0022222222222222222,0.23,2,207,883,900
ilo_Latn,Ilocano,Low,0.12490410132427475,580320,362896,900,1442.371411561966,90.7785484790802,{'0': 412441.21799993515},0.39666666666666667,0.4166666666666667,357,375,24,900
ind_Latn,Indonesian,High,0.11656199054848991,223840,287908,900,99.15335607528687,65.9496054649353,{'0': 30658.745000123978},0.4033333333333333,0.85,363,765,475,900
isl_Latn,Icelandic,High,0.13298073180101583,514387,382133,900,846.4396047592163,137.96480536460876,{'0': 251333.54800009727},0.6833333333333333,0.6833333333333333,615,615,11,900
ita_Latn,Italian,High,0.11246322129411757,366630,290334,900,144.83405566215515,106.40413808822632,{'0': 45803.35600018501},0.8044444444444444,0.9022222222222223,724,812,98,900
jav_Latn,Javanese,Low,0.11498626723184709,406097,311141,900,604.5515599250793,114.74751257896423,{'0': 174790.75099992752},0.23,0.7611111111111111,207,685,612,900
jpn_Jpan,Japanese,High,0.11319042994280394,432197,302455,900,167.80940866470337,124.05384397506714,{'0': 54476.5640001297},0.0,0.7822222222222223,0,704,900,900
kac_Latn,Jingpho,Low,0.1561720838017716,765203,395217,900,1068.4400370121002,226.25210785865784,{'0': 312982.4769999981},0.0022222222222222222,0.2588888888888889,2,233,890,900
kan_Knda,Kannada,Low,0.29079536861255206,1963275,1147758,900,1810.2988266944885,877.3763720989227,{'0': 598790.7730000019},0.006666666666666667,0.7255555555555555,6,653,880,900
kat_Geor,Georgian,Low,0.19663511666511252,400695,869053,900,284.59357261657715,180.48986339569092,{'0': 93574.96599984169},0.5333333333333333,0.5333333333333333,480,480,0,900
kaz_Cyrl,Kazakh,High,0.15769753589855243,534010,527553,900,315.48525404930115,213.40021967887878,{'0': 101065.79100012779},0.5166666666666667,0.6833333333333333,465,615,216,900
kea_Latn,Kabuverdianu,Low,0.1150755996029348,463288,305476,900,183.77513790130615,138.03674006462097,{'0': 58137.982999801636},0.0044444444444444444,0.5866666666666667,4,528,896,900
khk_Cyrl,Halh Mongolian,Low,0.16058088283460537,634984,475331,900,816.1905536651611,229.78808212280273,{'0': 235448.0260000229},0.0022222222222222222,0.5244444444444445,2,472,897,900
khm_Khmr,Khmer,Low,0.2769543599244857,1778891,1072577,900,2029.1167068481445,775.2306704521179,{'0': 613915.2539999485},0.0022222222222222222,0.63,2,567,886,900
kin_Latn,Kinyarwanda,Low,0.12503769975180323,722516,372436,900,1663.3059496879578,119.9571623802185,{'0': 497505.39299988747},0.0,0.2922222222222222,0,263,900,900
kir_Cyrl,Kyrgyz,Low,0.14598375501571045,676822,444839,900,1454.3506834506989,149.67607283592224,{'0': 409724.0610001087},0.4722222222222222,0.4722222222222222,425,425,0,900
kor_Hang,Korean,High,0.1145733298677238,468108,286636,900,183.28255248069763,138.0336434841156,{'0': 58124.66700005531},0.8777777777777778,0.8777777777777778,790,790,0,900
lao_Laoo,Lao,Low,0.23296850070411596,1469386,984339,900,1731.5112011432648,751.6892673969269,{'0': 510570.6660001278},0.005555555555555556,0.6222222222222222,5,560,889,900
lin_Latn,Lingala,Low,0.12254254587711483,495406,302392,900,228.43288111686707,151.095636844635,{'0': 73293.99799990654},0.0022222222222222222,0.2788888888888889,2,251,891,900
lit_Latn,Lithuanian,High,0.12491487304632351,384397,371480,900,590.1610991954803,117.54187822341919,{'0': 176041.74100017548},0.8366666666666667,0.8388888888888889,753,755,4,900
lug_Latn,Ganda,Low,0.12853036060340703,726949,372532,900,1381.1354269981384,153.84452557563782,{'0': 412084.4859998226},0.0,0.2677777777777778,0,241,898,900
luo_Latn,Luo,Low,0.11989137396788803,687087,311303,900,1298.3446662425995,137.17951703071594,{'0': 356741.8229999542},0.0033333333333333335,0.24666666666666667,3,222,894,900
lvs_Latn,Latvian,High,0.13490925875097762,582382,399715,900,267.0077519416809,199.10431551933289,{'0': 85601.36899995804},0.8255555555555556,0.8355555555555556,743,752,13,900
mal_Mlym,Malayalam,Low,0.2579603010487134,1161153,1213526,900,951.285885810852,462.15371203422546,{'0': 317108.91899991035},0.7288888888888889,0.7477777777777778,656,673,26,900
mar_Deva,Marathi,Low,0.19626358583624381,896219,763822,900,572.2744655609131,412.123658657074,{'0': 187684.6019999981},0.0022222222222222222,0.7644444444444445,2,688,893,900
mkd_Cyrl,Macedonian,High,0.13021481023457226,390445,403624,900,175.45224809646606,125.46153593063354,{'0': 56774.00600004196},0.8277777777777777,0.84,745,756,14,900
mlt_Latn,Maltese,High,0.13742922083213255,1581018,394159,900,4636.872589111328,157.56118822097778,{'0': 1412376.0650000572},0.5722222222222222,0.5844444444444444,515,526,59,900
mri_Latn,Maori,Low,0.13633443346216823,734697,416541,900,1141.956090927124,192.43884658813477,{'0': 317846.8410000801},0.0022222222222222222,0.3211111111111111,2,289,897,900
mya_Mymr,Burmese,Low,0.3149086811001753,2154191,1491232,900,2243.611622571945,1028.6309707164764,{'0': 716389.8140001297},0.01,0.4677777777777778,9,421,842,900
nld_Latn,Dutch,High,0.11220591290340517,397947,280331,900,155.9840168952942,118.93699550628662,{'0': 49215.4430000782},0.034444444444444444,0.8811111111111111,31,793,861,900
nob_Latn,Norwegian Bokmal,Low,0.11355321973547965,355727,290655,900,138.89694595336914,102.32300591468811,{'0': 44399.02200007439},0.8977777777777778,0.9011111111111111,808,811,5,900
npi_Deva,Nepali,Low,0.20953360823630876,1242288,753155,900,1138.6149923801422,581.0441265106201,{'0': 358420.617000103},0.005555555555555556,0.3377777777777778,5,304,889,900
npi_Latn,Nepali (Latin),Low,0.15204857732814142,814114,338302,900,860.4405689239502,293.02768182754517,{'0': 244157.49799990654},0.18888888888888888,0.3933333333333333,170,354,483,900
nso_Latn,Northern Sotho,Low,0.12755414711632945,730114,384733,900,1262.8516483306885,171.84495997428894,{'0': 353284.492000103},0.0,0.3011111111111111,0,271,899,900
nya_Latn,Nyanja,Low,0.1474946239120844,846511,370181,900,1456.5562114715576,226.732980966568,{'0': 418739.19099998474},0.0011111111111111111,0.25,1,225,894,900
ory_Orya,Odia,Low,0.30764182321239353,1204527,1565781,900,1197.8429255485535,534.4063572883606,{'0': 397197.10800004005},0.0,0.4211111111111111,0,379,900,900
pan_Guru,Eastern Panjabi,Low,0.2626689659138788,1556173,1158223,900,1499.3602349758148,629.4786660671234,{'0': 476415.4589998722},0.7333333333333333,0.7433333333333333,660,669,12,900
pbt_Arab,Southern Pashto,Low,0.8396046913568914,3747646,508587,900,11458.458554983139,6919.992468118668,{'0': 3377773.0939998627},0.0011111111111111111,0.40444444444444444,1,364,891,900
pes_Arab,Western Persian,High,0.1434511901922388,506687,452450,900,242.14480018615723,173.53407907485962,{'0': 79670.5490000248},0.6388888888888888,0.6744444444444444,575,607,227,900
plt_Latn,Plateau Malagasy,Low,0.13221674989439933,586134,385701,900,750.6026871204376,181.5882875919342,{'0': 217436.19499993324},0.0011111111111111111,0.36,1,324,895,900
pol_Latn,Polish,High,0.11768728272985579,333593,311747,900,136.28913164138794,98.07901740074158,{'0': 43540.79200005531},0.03,0.84,27,756,865,900
por_Latn,Portuguese,High,0.11347080590455945,223499,268888,900,92.9662218093872,65.0005784034729,{'0': 28903.819999933243},0.6255555555555555,0.9022222222222223,563,812,272,900
ron_Latn,Romanian,High,0.11740378051373998,386978,325059,900,158.16882133483887,119.73758888244629,{'0': 49891.25200009346},0.8822222222222222,0.8944444444444445,794,805,11,900
rus_Cyrl,Russian,High,0.11764169734973867,370275,318194,900,148.5382010936737,113.10900044441223,{'0': 47550.1970000267},0.9088888888888889,0.9088888888888889,818,818,0,900
shn_Mymr,Shan,Low,0.7020244070090913,4200313,1489425,900,10304.98664522171,4665.191677570343,{'0': 3002805.0889999866},0.008888888888888889,0.10555555555555556,8,95,847,900
sin_Latn,Sinhala (Latin),Low,0.13073871412860397,675122,398413,900,1170.3394660949707,156.37912154197693,{'0': 338611.6019999981},0.0,0.3211111111111111,0,289,896,900
sin_Sinh,Sinhala,Low,0.3458114934458992,2116100,1143283,900,3122.537474632263,1087.2519822120667,{'0': 950674.5179998875},0.011111111111111112,0.5177777777777778,10,466,857,900
slk_Latn,Slovak,High,0.12354045422430662,519748,368173,900,222.8158881664276,163.77935767173767,{'0': 71311.48200011253},0.18777777777777777,0.7833333333333333,169,705,708,900
slv_Latn,Slovenian,High,0.11969138824707523,360206,338212,900,592.1218934059143,102.01626539230347,{'0': 172105.7119998932},0.8711111111111111,0.8722222222222222,784,785,1,900
sna_Latn,Shona,Low,0.13755210645817223,756672,377432,900,1148.3002202510834,199.27029371261597,{'0': 341761.1779999733},0.0,0.28555555555555556,0,257,897,900
snd_Arab,Sindhi,Low,0.17211704362857325,1678582,435910,900,4645.572434902191,282.65275144577026,{'0': 1325976.3420000076},0.0044444444444444444,0.61,4,549,884,900
som_Latn,Somali,Low,0.13638441679503369,580127,385823,900,261.5025157928467,204.0036759376526,{'0': 84487.03400015831},0.0011111111111111111,0.32,1,288,895,900
sot_Latn,Southern Sotho,High,0.13290548262362245,785951,375607,900,1475.5938606262207,179.16757440567017,{'0': 423874.8029999733},0.0022222222222222222,0.32,2,288,896,900
spa_Latn,Spanish,High,0.11124136934219497,329321,266765,900,128.38051652908325,92.4118869304657,{'0': 40926.36800003052},0.6155555555555555,0.9077777777777778,554,817,293,900
srp_Cyrl,Serbian,Low,0.1279139479943569,475857,402624,900,202.8378508090973,153.84217953681946,{'0': 65767.44299983978},0.8733333333333333,0.8755555555555555,786,788,4,900
ssw_Latn,Swati,Low,0.16491481643660993,1409901,369117,900,2846.000494003296,333.9727416038513,{'0': 815150.4030001163},0.005555555555555556,0.22777777777777777,5,205,878,900
sun_Latn,Sundanese,Low,0.11906383098693515,510165,319724,900,624.9070916175842,148.12595891952515,{'0': 192992.8600001335},0.35444444444444445,0.5477777777777778,319,493,425,900
swe_Latn,Swedish,High,0.1131934210811734,330028,284471,900,127.38523316383362,95.6828064918518,{'0': 40791.88100004196},0.8911111111111111,0.8955555555555555,802,806,6,900
swh_Latn,Swahili,High,0.14434127636999092,760846,347720,900,848.9280354976654,260.55772042274475,{'0': 255009.5220000744},0.0022222222222222222,0.54,2,486,889,900
tam_Taml,Tamil,Low,0.25716677368757657,1540155,1016429,900,1430.7214694023132,626.8124144077301,{'0': 468940.91400003433},0.034444444444444444,0.6877777777777778,31,619,832,900
tel_Telu,Telugu,Low,0.2647155285916655,1339006,1181349,900,1337.5129806995392,557.528058052063,{'0': 424407.15799999237},0.4388888888888889,0.6388888888888888,395,575,267,900
tgk_Cyrl,Tajik,Low,0.17033256690517753,1149221,441922,900,2023.94038271904,328.34559631347656,{'0': 584092.8710000515},0.0033333333333333335,0.58,3,522,885,900
tgl_Latn,Tagalog,High,0.12808856029470914,227736,355542,900,106.3304283618927,71.18980550765991,{'0': 33750.109999895096},0.11555555555555555,0.7455555555555555,104,671,766,900
tha_Thai,Thai,High,0.140141496455813,603074,426941,900,285.1740667819977,210.354749917984,{'0': 92922.66600012779},0.0,0.8255555555555556,0,743,894,900
tir_Ethi,Tigrinya,Low,0.7257225453479055,3325414,725902,900,9540.574735164642,5527.884351968765,{'0': 2704104.8169999123},0.0011111111111111111,0.25333333333333335,1,228,895,900
tsn_Latn,Tswana,High,0.14681745550638625,940184,392183,900,1719.366511106491,229.54389786720276,{'0': 497913.117000103},0.0022222222222222222,0.2922222222222222,2,263,889,900
tso_Latn,Tsonga,Low,0.14085638678979953,741420,404045,900,1052.9824962615967,203.17676424980164,{'0': 317725.05900001526},0.0022222222222222222,0.2911111111111111,2,262,886,900
tur_Latn,Turkish,High,0.11313105383251294,349338,287621,900,145.26615929603577,101.20582866668701,{'0': 45259.986999988556},0.8244444444444444,0.8544444444444445,742,769,36,900
ukr_Cyrl,Ukrainian,High,0.1318537466682933,356123,430261,900,612.2711322307587,112.14440393447876,{'0': 175052.81999993324},0.8733333333333333,0.8733333333333333,786,786,0,900
urd_Arab,Urdu,Low,0.15906963262766954,527972,485747,900,839.412805557251,167.75754809379578,{'0': 246276.11100006104},0.6133333333333333,0.7344444444444445,552,661,182,900
urd_Latn,Urdu (Latin),Low,0.13875499018349166,656631,365545,900,747.5227291584015,225.62265706062317,{'0': 219404.54800009727},0.5233333333333333,0.5255555555555556,471,473,4,900
uzn_Latn,Northern Uzbek,High,0.12608477773994287,495798,373059,900,655.1987075805664,154.44210767745972,{'0': 187176.12599992752},0.0022222222222222222,0.7366666666666667,2,663,894,900
vie_Latn,Vietnamese,High,0.11197976838739664,359211,257746,900,139.73660612106323,99.5328540802002,{'0': 44986.261999845505},0.1288888888888889,0.8855555555555555,116,797,769,900
war_Latn,Waray,Low,0.12277756529098052,306588,343799,900,684.6158239841461,78.2453682422638,{'0': 183716.6660001278},0.024444444444444446,0.5933333333333334,22,534,864,900
wol_Latn,Wolof,Low,0.13189820626888435,880761,355602,900,1729.3657031059265,178.44537568092346,{'0': 483437.3039999008},0.0011111111111111111,0.24444444444444444,1,220,896,900
xho_Latn,Xhosa,High,0.1391439795436645,887370,379622,900,1630.7656879425049,203.35370635986328,{'0': 456877.43799996376},0.0011111111111111111,0.29777777777777775,1,268,891,900
yor_Latn,Yoruba,Low,0.15352637927643129,713713,465140,900,1272.7119796276093,192.21903586387634,{'0': 381543.24000000954},0.0,0.23444444444444446,0,211,899,900
zho_Hans,Simplified Chinese,High,0.1020342668824984,362454,193658,900,129.19987797737122,97.25041627883911,{'0': 40532.94499993324},0.04111111111111111,0.8955555555555555,37,806,843,900
zho_Hant,Traditional Chinese,High,0.106698998147924,392790,222026,900,155.25257349014282,109.20291519165039,{'0': 48659.60500001907},0.37777777777777777,0.8877777777777778,340,799,515,900
zsm_Latn,Standard Malay,High,0.11792129521276327,217255,285598,900,95.8487160205841,62.68116116523743,{'0': 29673.142000198364},0.6933333333333334,0.8811111111111111,624,793,191,900
zul_Latn,Zulu,High,0.1512986456609294,1232890,388200,900,2830.0880901813507,231.18173933029175,{'0': 860234.4269998074},0.0022222222222222222,0.2866666666666667,2,258,895,900
